ç,,,,,
Município,ibge,latitude,longitude,IMERS/IQA/IQA 2022 (-),IMERS/IQA/IQA 2023 (-)
São Francisco de Paula,4318200,"-29,444098","-50,582108","64,13223","65,70277"
São Gabriel,4318309,"-30,33676","-54,320478","62,686","42,82929"
São Jerônimo,4318408,"-29,959439","-51,728178","73,4375","60,13893"
São João da Urtiga,4318424,"-27,82669","-51,825839","71,71429","83,44976"
São João do Polêsine,4318432,"-29,614676","-53,44635","62,45255","65,86882"
São Jorge,4318440,"-28,498081","-51,702969","82,30769","42,59973"
São José das Missões,4318457,"-27,778183","-53,118775","79,2","41,7302"
São José do Herval,4318465,"-29,041447","-52,293016",65,"43,68572"
São José do Hortêncio,4318481,"-29,540049","-51,249598","67,77778","76,49849"
São José do Inhacorá,4318499,"-27,722585","-54,13355","75,51724","84,87717"
São José do Norte,4318507,"-32,020609","-52,034202","51,93133","65,70356"
São José do Ouro,4318606,"-27,771255","-51,594768","74,87805","53,91635"
São José do Sul,4318614,"-29,54347","-51,486384","60,47619","82,7765"
São José dos Ausentes,4318622,"-28,749906","-50,063613","51,21951","47,16575"
São Leopoldo,4318705,"-29,765867","-51,146235","51,16232","50,67971"
São Lourenço do Sul,4318804,"-31,364024","-51,976915","53,67347","59,30533"
São Luiz Gonzaga,4318903,"-28,406647","-54,95966","47,00508","76,17633"
São Marcos,4319000,"-28,969849","-51,066707","63,13869","76,13793"
São Martinho,4319109,"-27,708929","-53,966923","62,71186","82,44033"
São Martinho da Serra,4319125,"-29,534851","-53,854226","88,57143","64,15544"
São Miguel das Missões,4319158,"-28,549537","-54,561563",45,"76,98776"
São Nicolau,4319208,"-28,182155","-55,2601","35,17241","74,40308"
São Paulo das Missões,4319307,"-28,020485","-54,934708","64,65116","57,64485"
São Pedro da Serra,4319356,"-29,42143","-51,514327","69,3617","65,28932"
São Pedro das Missões,4319364,"-27,771308","-53,247369","85,71429","85,06793"
São Pedro do Butiá,4319372,"-28,124354","-54,888256","42,5","74,90098"
São Pedro do Sul,4319406,"-29,617531","-54,179991","67,79817","80,13057"
São Sebastião do Caí,4319505,"-29,59208","-51,376665","52,66667","65,10289"
São Sepé,4319604,"-30,167411","-53,569644","53,8835","63,80931"
São Valentim,4319703,"-27,554318","-52,528479","76,08696","95,76798"
São Valentim do Sul,4319711,"-29,051228","-51,769671","74,54545","74,54545"
São Valério do Sul,4319737,"-27,787718","-53,935526","62,45255","52,5"
São Vendelino,4319752,"-29,37581","-51,368653","67,5","81,50113"
São Vicente do Sul,4319802,"-29,692061","-54,676002","49,28571","78,1017"
Sapiranga,4319901,"-29,638554","-51,003623","58,50117","63,83477"
Sapucaia do Sul,4320008,"-29,824868","-51,151875","55,10638","55,9715"
Sarandi,4320107,"-27,943595","-52,925461","57,03704","73,2799"
Seberi,4320206,"-27,480414","-53,405467","67,39726","75,00732"
Sede Nova,4320230,"-27,631163","-53,955885","59,70588","83,51914"
Segredo,4320263,"-29,342618","-52,982074","58,69565","70,49189"
Selbach,4320305,"-28,627434","-52,956525","70,71429","72,02918"
Senador Salgado Filho,4320321,"-28,02749","-54,545403",76,"78,63483"
Sentinela do Sul,4320354,"-30,613303","-51,577982","57,88462","51,32628"
Serafina Corrêa,4320404,"-28,710797","-51,935709","58,95652","66,12897"
Sério,4320453,"-29,38676","-52,267456","62,45255","54,31371"
Sertão,4320503,"-27,980774","-52,259738",65,"85,75507"
Sertão Santana,4320552,"-30,465428","-51,60425","55,15152","74,86735"
Sete de Setembro,4320578,"-28,130416","-54,463686","75,29412","52,74698"
Severiano de Almeida,4320602,"-27,432793","-52,120656","63,33333","71,06362"
Silveira Martins,4320651,"-29,64525","-53,585237","79,44444","21,58886"
Sinimbu,4320677,"-29,529068","-52,521636","49,15493","63,20287"
Sobradinho,4320701,"-29,414773","-53,025168","66,59341","73,2962"
Soledade,4320800,"-28,827738","-52,509866","73,88889","57,87205"
Tabaí,4320859,"-29,687771","-51,727475","49,72973","55,57519"
Tapejara,4320909,"-28,084171","-52,022133","71,38889","65,23587"
Tapera,4321006,"-28,62495","-52,871467","59,59184","78,54463"
Tapes,4321105,"-30,673173","-51,394499","49,92701","44,84358"
Taquara,4321204,"-29,650513","-50,781169","55,72327","75,56209"
Taquari,4321303,"-29,802801","-51,862776","54,47368","65,86882"
Taquaruçu do Sul,4321329,"-27,398036","-53,466952","90,47619","58,16372"
Tavares,4321352,"-31,288703","-51,088843","45,83333","83,53861"
Tenente Portela,4321402,"-27,372167","-53,75727","72,18182","77,24227"
Terra de Areia,4321436,"-29,577549","-50,067249","58,18182","60,67077"
Teutônia,4321451,"-29,488914","-51,812817","67,20588","61,53933"
Tio Hugo,4321469,"-28,580496","-52,593046","62,38095","80,95978"
Tiradentes do Sul,4321477,"-27,396899","-54,085392","44,54545","84,86371"
Toropi,4321493,"-29,472142","-54,228011","62,30769","92,12085"
Torres,4321501,"-29,335931","-49,730404","51,09489","57,7626"
Tramandaí,4321600,"-29,987302","-50,130377","49,73312","60,63959"
Travesseiro,4321626,"-29,299086","-52,057777","74,11765","84,38793"
Três Arroios,4321634,"-27,499516","-52,149852","82,38095","86,96799"
Três Cachoeiras,4321667,"-29,445887","-49,915639","64,23077","80,24213"
Três Coroas,4321709,"-29,516661","-50,783126","60,27778","59,41411"
Três de Maio,4321808,"-27,77966","-54,235302","71,58537","50,51828"
Três Forquilhas,4321832,"-29,538111","-50,064316",81,81
Três Palmeiras,4321857,"-27,617527","-52,843714","59,5","74,5095"
Três Passos,4321907,"-27,45616","-53,929699","66,89655","75,32561"
Trindade do Sul,4321956,"-27,517576","-52,892231","52,53731","73,18311"
Triunfo,4322004,"-29,945204","-51,715313","67,7551","81,68257"
Tucunduva,4322103,"-27,65006","-54,433129","67,5","40,72263"
Tunas,4322152,"-29,10644","-52,957013","41,5","75,5899"
Tupanci do Sul,4322186,"-27,925711","-51,540539","70,625","90,79106"
Tupanciretã,4322202,"-29,07748","-53,84063","55,76923","73,92418"
Tupandi,4322251,"-29,487913","-51,419825","67,61194","73,8451"
Tuparendi,4322301,"-27,754089","-54,478508","65,26316","75,04718"
Turuçu,4322327,"-31,412366","-52,171416","52,32558","64,18244"
Ubiretama,4322343,"-28,043565","-54,684511","66,92308","87,91372"
União da Serra,4322350,"-28,779899","-52,000417","62,45255","65,86882"
Unistalda,4322376,"-29,047485","-55,150781","53,33333","41,06635"
Uruguaiana,4322400,"-29,759823","-57,081825","46,97313","41,91118"
Vacaria,4322509,"-28,502354","-50,936599","47,63441","70,12987"
Vale do Sol,4322533,"-29,608828","-52,681355","61,16667","79,94346"
Vale Real,4322541,"-29,392281","-51,251197","57,27273","74,73089"
Vale Verde,4322525,"-29,782575","-52,179722","86,12903","68,90977"
Vanini,4322558,"-28,476223","-51,844658","65,2","81,26447"
Venâncio Aires,4322608,"-29,611653","-52,19188","71,64659","80,01396"
Vera Cruz,4322707,"-29,719858","-52,501103","71,41975","64,00203"
Veranópolis,4322806,"-28,933957","-51,552287","56,60465","71,30095"
Vespasiano Correa,4322855,"-29,069894","-51,85947",94,94
Viadutos,4322905,"-27,570953","-52,023799","74,78559","83,33338"
Viamão,4323002,"-30,081897","-51,02482","49,12065","60,67035"
Vicente Dutra,4323101,"-27,168445","-53,402129","73,86364","75,25121"
Victor Graeff,4323200,"-28,560185","-52,747792","84,54545","45,48353"
Vila Flores,4323309,"-28,863","-51,549589","69,39394","70,46279"
Vila Lângaro,4323358,"-28,107405","-52,146903",75,"81,64522"
Vila Maria,4323408,"-28,533314","-52,163538","73,18182","74,18087"
Vila Nova do Sul,4323457,"-30,333959","-53,879196",50,"63,59092"
Vista Alegre,4323507,"-27,370084","-53,49241","74,44444","45,94192"
Vista Alegre do Prata,4323606,"-28,809472","-51,786208","83,75","74,54572"
Vista Gaúcha,4323705,"-27,289978","-53,70132","71,11111","64,92385"
Vitória das Missões,4323754,"-28,352387","-54,499055","62,45255","65,86882"
Westfália,4323770,"-29,42345","-51,766156","70,43478","66,55296"
Xangri-lá,4323804,"-29,805378","-50,039081","52,29167","58,56795"
